Variable:,location_id,location_name,year_id,age_group_id,age_group_name,haq_index_age_type,indicator_id,indicator_name,measure,val,upper,lower
Label:,Location ID,Location Name,Year,Age Group ID,Age Group Name,HAQ Index Age Type,Indicator ID,Indicator Name,Measure,Value,95% Uncertainty Interval - Upper Bound,95% Uncertainty Interval - Lower Bound
Value coding:,6,China,1990,27,Age-standardized,Overall,100,HAQ Index,Index,,,
,7,Democratic People's Republic of Korea,2019,39,0-14 years,Young,297,Tuberculosis,Mortality-to-incidence ratios (MIR),,,
,8,Taiwan (Province of China),,200,15-64 years,Working,302,Diarrheal diseases,Risk-standardised death rates (RSD),,,
,10,Cambodia,,232,65-74 years,Post-working,322,Lower respiratory infections,,,,
,11,Indonesia,,,,,328,Upper respiratory infections,,,,
,12,Lao People's Democratic Republic,,,,,338,Diphtheria,,,,
,13,Malaysia,,,,,339,Whooping cough,,,,
,14,Maldives,,,,,340,Tetanus,,,,
,15,Myanmar,,,,,341,Measles,,,,
,16,Philippines,,,,,366,Maternal disorders,,,,
,17,Sri Lanka,,,,,380,Neonatal disorders,,,,
,18,Thailand,,,,,429,Breast cancer,,,,
,19,Timor-Leste,,,,,432,Cervical cancer,,,,
,20,Viet Nam,,,,,435,Uterine cancer,,,,
,22,Fiji,,,,,441,Colon and rectum cancer,,,,
,23,Kiribati,,,,,468,Testicular cancer,,,,
,24,Marshall Islands,,,,,484,Hodgkin lymphoma,,,,
,25,Micronesia (Federated States of),,,,,487,Leukemia,,,,
,26,Papua New Guinea,,,,,492,Rheumatic heart disease,,,,
,27,Samoa,,,,,493,Ischemic heart disease,,,,
,28,Solomon Islands,,,,,494,Stroke,,,,
,29,Tonga,,,,,498,Hypertensive heart disease,,,,
,30,Vanuatu,,,,,508,Chronic respiratory diseases,,,,
,33,Armenia,,,,,527,Peptic ulcer disease,,,,
,34,Azerbaijan,,,,,529,Appendicitis,,,,
,35,Georgia,,,,,531,"Inguinal, femoral, and abdominal hernia",,,,
,36,Kazakhstan,,,,,534,Gallbladder and biliary diseases,,,,
,37,Kyrgyzstan,,,,,545,Idiopathic epilepsy,,,,
